SMILES	pKi
CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1	8.699
CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1	8.0458
CC(C)(O)c1cncc(-c2cc(Cl)c([C@]3(C)CS(=O)(=O)[C@]4(CCOC4)C(=N)N3)s2)c1	5.6158
CC(C)=CCC/C(=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)C=C(C)C1=O)C(=O)O	5.3979
CC(C)=CCC/C(=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc(C)c1O)C(=O)O	5.7959
CC(C)=CCC/C(=C/CC/C(C)=C/CCC1(C)C=Cc2cc(O)cc(C)c2O1)C(=O)O	5.5376
CC(C)=CCC/C(C)=C/COc1c2occc2cc2ccc(=O)oc12	4.2094
CC(C)=CCc1c(-c2ccc(O)c3c2OC(C)(C)C=C3)oc2cc(O)cc(=O)c-2c1O	4.9747
CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c(CC=C(C)C)c(O)cc(O)c2c1=O	5.6576
CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3	4.1931
CC(C)C(=O)c1cc(-c2nnc([C@](C)([NH3+])Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1	4.7825
CC(C)C1(c2cccc(-c3cccc(Cl)c3)c2)N=C(N)N(C)C1=O	6.4949
CC(C)CC(=O)N1CCC2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O	8.5528
CC(C)CN1CCN[C@@H]([C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(C(=O)N[C@H](C)c3ccccc3)cc(N(C)S(C)(=O)=O)c2)C1=O	7.8861
CC(C)CNC(=O)C(NCC(O)C(Cc1ccccc1)NC(=O)c1cccc(C(=O)N(C)C(C)c2ccccc2)c1)C(C)O	5.2357
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CNC(=O)OC(C)(C)C)NC(=O)C1=NO[C@@H]2OCC[C@H]12)C(C)C	6.0921
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CNC(=O)OC(C)(C)C)NC(=O)C1=NO[C@H]2OCC[C@@H]12)C(C)C	5.3847
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@@H]2OCCC[C@H]12)C(C)C	7.5528
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@@H]2OCC[C@H]12)C(C)C	6.9547
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@H]2OCCC[C@@H]12)C(C)C	6.2007
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@H]2OCC[C@@H]12)C(C)C	6.5528
CC(C)CNC(=O)[C@@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@@H](C)O	7.0044
CC(C)CNC(=O)[C@@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@H](C)O	10.7696
CC(C)CNC(=O)[C@H](CCC(=O)O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@H](NC(=O)CC(C)C)C(=O)O	5.7696
CC(C)CNC(=O)[C@H](CCO)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@H](NC(=O)CC(C)C)C(=O)O	5.7212
CC(C)COc1ccc(F)c([C@]23COC(C)(C)C[C@H]2S(=O)(=O)C(C)(C)C(=N)N3)c1	6.7645
CC(C)COc1ccc(F)c([C@]23CO[C@@H](C)C[C@H]2S(=O)(=O)C(C)(C)C(=N)N3)c1	6.451
CC(C)COc1ccc(F)c([C@]23CO[C@@H](C4CC4)C[C@H]2C(=O)N(C)C(=N)N3)c1	7.3468
CC(C)CS(=O)(=O)N1CC[C@@]2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O	8.699
CC(C)CS(=O)(=O)N1CC[C@]2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O	7.3188
CC(C)C[C@H](NC(=O)C(CC(N)=O)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(O)CC(C)C(=O)NC(C)C(=O)NCc1ccccc1	7.2147
CC(C)C[C@H](NC(=O)C(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(N)=O)C(O)CC(C)C(=O)N[C@@H](C)C(=O)NCc1ccccc1	7.2147
CC(C)C[C@H](NC(=O)C(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(N)=O)C(O)CC(C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C	8.2291
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(N)=O)C(O)CC(C)C(=O)N[C@@H](C)C(=O)NCc1ccccc1	4.6493
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(N)=O)C(O)CC(C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C	5.5039
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C	5.5039
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(O)CC(C)C(=O)NC(C)C(=O)NCc1ccccc1	4.6493
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)NCc1ccccc1	4.6493
